date,open_time,open,high,low,close,volume,close_time
2025-08-04 08:00:00,1754265600000,114208.81000000,119311.11000000,112650.00000000,119294.01000000,78822.40070000,1754870399999
2025-08-11 08:00:00,1754870400000,119294.27000000,124474.00000000,116803.99000000,117405.01000000,120321.12365600,1755475199999
2025-08-18 08:00:00,1755475200000,117405.01000000,117543.75000000,110680.00000000,113493.59000000,117920.88503000,1756079999999
2025-08-25 08:00:00,1756080000000,113493.59000000,113667.28000000,107350.10000000,108246.35000000,110910.33675000,1756684799999
2025-09-01 08:00:00,1756684800000,108246.36000000,113384.62000000,107255.00000000,111137.34000000,90809.75324000,1757289599999
2025-09-08 08:00:00,1757289600000,111137.35000000,116665.63000000,110621.78000000,115268.01000000,88456.94711000,1757894399999
2025-09-15 08:00:00,1757894400000,115268.01000000,117900.00000000,114384.00000000,115232.29000000,70729.44030000,1758499199999
2025-09-22 08:00:00,1758499200000,115232.29000000,115379.25000000,108620.07000000,112163.95000000,93970.57704000,1759103999999
2025-09-29 08:00:00,1759104000000,112163.96000000,125708.42000000,111560.65000000,123482.31000000,124480.09890300,1759708799999
2025-10-06 08:00:00,1759708800000,123482.32000000,126199.63000000,102000.00000000,114958.80000000,211576.35922300,1760313599999
2025-10-13 08:00:00,1760313600000,114958.81000000,115963.81000000,103528.23000000,108642.78000000,171795.75097000,1760918399999
2025-10-20 08:00:00,1760918400000,108642.77000000,115466.80000000,106666.69000000,114559.40000000,137472.95078000,1761523199999
2025-10-27 08:00:00,1761523200000,114559.41000000,116400.00000000,106304.34000000,110540.68000000,125045.90669000,1762127999999
2025-11-03 08:00:00,1762128000000,110540.69000000,110750.00000000,98944.36000000,104722.96000000,199598.71888000,1762732799999
2025-11-10 08:00:00,1762732800000,104722.95000000,107500.00000000,93005.55000000,94261.44000000,189823.35450000,1763337599999
2025-11-17 08:00:00,1763337600000,94261.45000000,96043.00000000,80600.00000000,86830.00000000,257258.09768000,1763942399999
2025-11-24 08:00:00,1763942400000,86830.00000000,93092.00000000,85272.00000000,90360.00000000,118687.98554000,1764547199999
2025-12-01 08:00:00,1764547200000,90360.01000000,94150.00000000,83822.76000000,90395.31000000,149459.29022000,1765151999999
2025-12-08 08:00:00,1765152000000,90395.32000000,94588.99000000,87577.36000000,88172.17000000,107997.17703000,1765756799999
2025-12-15 08:00:00,1765756800000,88172.16000000,90365.85000000,84450.01000000,88658.86000000,116986.93155000,1766361599999
2025-12-22 08:00:00,1766361600000,88658.87000000,90588.23000000,86420.00000000,87952.71000000,72081.43375000,1766966399999
2025-12-29 08:00:00,1766966400000,87952.71000000,91810.00000000,86806.50000000,91529.73000000,85720.05743000,1767571199999
2026-01-05 08:00:00,1767571200000,91529.74000000,94789.08000000,89311.00000000,91013.65000000,93800.82810000,1768175999999
2026-01-12 08:00:00,1768176000000,91013.66000000,97924.49000000,90128.44000000,93673.14000000,106130.99963000,1768780799999
2026-01-19 08:00:00,1768780800000,93673.14000000,93673.14000000,86074.72000000,86670.36000000,100317.13896000,1769385599999
2026-01-26 08:00:00,1769385600000,86670.36000000,90600.00000000,75700.00000000,76968.21000000,175738.70675000,1769990399999
2026-02-02 08:00:00,1769990400000,76968.22000000,79360.00000000,60000.00000000,70330.38000000,384283.11539000,1770595199999
2026-02-09 08:00:00,1770595200000,70330.38000000,71453.53000000,65118.00000000,68832.58000000,163165.87355000,1771199999999
2026-02-16 08:00:00,1771200000000,68832.59000000,70126.67000000,65631.83000000,67643.40000000,113599.38988000,1771804799999
2026-02-23 08:00:00,1771804800000,67643.39000000,69988.83000000,62510.28000000,65776.47000000,174645.67528000,1772409599999
2026-03-02 08:00:00,1772409600000,65776.48000000,74050.00000000,65259.21000000,65971.20000000,185435.28412000,1773014399999
2026-03-09 08:00:00,1773014400000,65971.20000000,73913.74000000,65821.97000000,72815.24000000,173796.90567000,1773619199999
2026-03-16 08:00:00,1773619200000,72815.25000000,76000.00000000,67360.66000000,67859.00000000,145050.61744000,1774223999999
2026-03-23 08:00:00,1774224000000,67859.00000000,72026.09000000,65000.00000000,66010.93000000,137696.42185000,1774828799999
2026-03-30 08:00:00,1774828800000,66010.93000000,69310.00000000,65712.12000000,69034.18000000,110218.58039000,1775433599999
2026-04-06 08:00:00,1775433600000,69034.18000000,73790.00000000,67732.01000000,70740.98000000,121909.25954000,1776038399999
2026-04-13 08:00:00,1776038400000,70741.56000000,78333.00000000,70566.99000000,73801.79000000,128729.92407000,1776643199999
2026-04-20 08:00:00,1776643200000,73801.80000000,79472.82000000,73724.31000000,78657.55000000,94938.10789000,1777247999999
2026-04-27 08:00:00,1777248000000,78657.55000000,79485.66000000,74937.52000000,78568.57000000,88811.52864000,1777852799999
2026-05-04 08:00:00,1777852800000,78568.58000000,82850.00000000,78202.00000000,82210.07000000,113527.76932000,1778457599999
2026-05-11 08:00:00,1778457600000,82210.07000000,82380.00000000,76735.16000000,77457.67000000,97802.77673000,1779062399999
2026-05-18 08:00:00,1779062400000,77457.67000000,78200.00000000,74289.60000000,77064.96000000,87142.14908000,1779667199999
2026-05-25 08:00:00,1779667200000,77064.96000000,78080.00000000,72512.49000000,73674.39000000,95966.20092000,1780271999999
2026-06-01 08:00:00,1780272000000,73674.39000000,74092.00000000,59130.91000000,63332.01000000,231929.75118000,1780876799999
2026-06-08 08:00:00,1780876800000,63332.01000000,65800.00000000,60755.00000000,65746.45000000,117630.09655000,1781481599999
2026-06-15 08:00:00,1781481600000,65746.45000000,67292.15000000,62272.07000000,63311.99000000,100650.30030000,1782086399999
2026-06-22 08:00:00,1782086400000,63312.00000000,65622.83000000,58115.01000000,60426.75000000,129494.40218000,1782691199999
